,symbol,buy_exchange,sell_exchange,profit_percent,profit_abs,running_balance,timestamp
0,,,,,,1000.0,2024-09-07 02:15:51.709275
1,ETHUSDT,Huobi,OKX,9.18502222341383e-05,0.0918502222341383,1000.0918502222341,2024-09-07 02:24:29.867278
2,BTCUSDT,Huobi,OKX,2.1771545600791833e-05,0.021773545322093645,1000.1136237675562,2024-09-07 02:24:31.054767
3,ETHUSDT,Huobi,Binance,8.866510685328613e-05,0.08867518131677757,1000.202298948873,2024-09-07 02:24:31.118674
4,ETHUSDT,Huobi,OKX,0.00038785178823837153,0.38793025024745065,1000.5902291991205,2024-09-07 02:24:34.880751
5,ETHUSDT,OKX,Binance,1.7086668068370513e-05,0.017096753118780145,1000.6073259522393,2024-09-07 02:24:36.553181
6,BTCUSDT,Huobi,OKX,5.413551934233159e-05,0.05416839724816614,1000.6614943494875,2024-09-07 02:26:35.954466
7,BTCUSDT,Huobi,Bybit,0.00011899703202287743,0.11907574788716635,1000.7805700973747,2024-09-07 02:26:36.028620
8,BTCUSDT,Huobi,Binance,6.935032619372885e-05,0.06940445898459886,1000.8499745563594,2024-09-07 02:26:36.032741
9,BTCUSDT,OKX,Binance,0.00025802290525212684,0.2582422181565491,1001.1082167745159,2024-09-07 02:26:49.529267
10,BTCUSDT,Bybit,Huobi,1.0115471612967206e-05,0.010126681748290836,1001.1183434562641,2024-09-07 02:27:03.827480
11,BTCUSDT,Bybit,Huobi,8.410426046493455e-05,0.08419831791426945,1001.2025417741784,2024-09-07 02:27:08.837835
12,ETHUSDT,Bybit,Huobi,0.00020367971766128458,0.20392465103032514,1001.4064664252087,2024-09-07 02:27:12.590153
13,BTCUSDT,Bybit,Huobi,0.0007272029649821616,0.7282257515367212,1002.1346921767454,2024-09-07 02:27:13.846812
14,ETHUSDT,Bybit,Huobi,0.00011309673577748367,0.11333816249456331,1002.2480303392399,2024-09-07 02:27:18.152275
15,BTCUSDT,Bybit,Huobi,0.0002910936176088938,0.2917480048928377,1002.5397783441327,2024-09-07 02:27:18.860724
16,ETHUSDT,Bybit,Huobi,0.0001845301888734295,0.18499885465096896,1002.7247771987837,2024-09-07 02:27:23.159318
17,BTCUSDT,Bybit,Huobi,0.0005954998405515556,0.5971224449389698,1003.3218996437226,2024-09-07 02:27:23.873833
18,ETHUSDT,Binance,Huobi,0.0001343312971290294,0.13477753221710312,1003.4566771759397,2024-09-07 02:27:24.919584
19,BTCUSDT,Binance,Huobi,2.1500966556208152e-06,0.002157528845656364,1003.4588347047853,2024-09-07 02:27:27.926626
20,SOLUSDT,Bybit,Huobi,0.00018588421887398175,0.186527161661295,1003.6453618664466,2024-09-07 02:27:27.957835
21,ETHUSDT,Bybit,Huobi,0.0006859246923363398,0.6884251360530368,1004.3337870024997,2024-09-07 02:27:28.162305
22,BTCUSDT,Bybit,Huobi,0.000995753689192985,1.0000690735889006,1005.3338560760885,2024-09-07 02:27:28.879779
23,ETHUSDT,Binance,Huobi,0.0004963769704725883,0.499024573792574,1005.8328806498811,2024-09-07 02:27:29.932772
24,BTCUSDT,Bybit,OKX,6.968074297547706e-06,0.007008718243284806,1005.8398893681243,2024-09-07 02:27:31.548145
25,ETHUSDT,Bybit,Huobi,0.0005426691199183365,0.5458382475421569,1006.3857276156665,2024-09-07 02:27:33.173850
26,BTCUSDT,Bybit,Huobi,0.0007011146090043028,0.7055917359247688,1007.0913193515912,2024-09-07 02:27:33.890923
27,ETHUSDT,Bybit,OKX,5.460723351179402e-06,0.005499447084353307,1007.0968187986756,2024-09-07 02:27:34.402724
28,ETHUSDT,Binance,Huobi,2.636295709672375e-05,0.02655005022623646,1007.1233688489018,2024-09-07 02:27:35.307548
29,ETHUSDT,Binance,Bybit,3.97383527136223e-05,0.040021423657449186,1007.1633902725592,2024-09-07 02:27:37.632304
30,ETHUSDT,Binance,Huobi,6.65831495210603e-05,0.06706011060665582,1007.2304503831659,2024-09-07 02:27:40.319225
31,ETHUSDT,Binance,Bybit,8.384412330512351e-06,0.008445035407860126,1007.2388954185737,2024-09-07 02:27:43.847047
32,ETHUSDT,Binance,Huobi,4.865106706638308e-05,0.049003247052878646,1007.2878986656266,2024-09-07 02:27:45.539521
33,BTCUSDT,Binance,Huobi,1.4145164837994946e-05,0.014248253365942837,1007.3021469189925,2024-09-07 02:27:45.550159
34,ETHUSDT,Binance,OKX,2.1689334287816695e-05,0.021847712993361475,1007.3239946319859,2024-09-07 02:27:47.408413
35,BTCUSDT,Binance,OKX,1.893799734191794e-05,0.01907669913279071,1007.3430713311187,2024-09-07 02:27:49.016200
36,ETHUSDT,Binance,Huobi,0.0007327815976774644,0.7381624652193411,1008.0812337963381,2024-09-07 02:27:50.543862
37,BTCUSDT,Binance,Huobi,0.00013147345602038596,0.13253592375649928,1008.2137697200945,2024-09-07 02:27:50.562142
38,ETHUSDT,Binance,Huobi,0.0008088316475571792,0.8154752044525385,1009.0292449245471,2024-09-07 02:27:55.558557
39,BTCUSDT,Binance,Huobi,0.00034023899926755464,0.3433111005248242,1009.372556025072,2024-09-07 02:27:55.574312
40,ETHUSDT,Binance,OKX,9.30664722171193e-05,0.09393874294203004,1009.466494768014,2024-09-07 02:27:58.127507
41,BTCUSDT,Binance,OKX,3.193702736514368e-05,0.03223935906760173,1009.4987341270815,2024-09-07 02:27:58.593503
42,ETHUSDT,Binance,Bybit,3.93840840666607e-05,0.039758183010048534,1009.5384923100916,2024-09-07 02:27:58.751467
43,ETHUSDT,Binance,Huobi,0.0004733167216165071,0.4778314495258839,1010.0163237596174,2024-09-07 02:28:00.564546
44,BTCUSDT,Binance,Huobi,0.00032998711991161656,0.333292377741155,1010.3496161373586,2024-09-07 02:28:00.586359
45,BTCUSDT,Binance,Bybit,1.3483644524590714e-05,0.013623195069552825,1010.3632393324281,2024-09-07 02:28:01.904447
46,ETHUSDT,Binance,OKX,0.0005404197068046824,0.5460202055662599,1010.9092595379943,2024-09-07 02:28:03.142315
47,BTCUSDT,Binance,OKX,0.00035626921062403795,0.36015584390813193,1011.2694153819025,2024-09-07 02:28:03.606093
48,ETHUSDT,Binance,Bybit,0.0006746256771810325,0.6822283141644828,1011.951643696067,2024-09-07 02:28:03.763985
49,SOLUSDT,Binance,OKX,6.952401328101567e-06,0.0070354939516071,1011.9586791900186,2024-09-07 02:32:00.215733
